"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"572",572,"Compass","COMP","Technology","Internet Services and Retailing","no","true","false","no",-77,"no","yes","n/a","no","no",3191,1521,-6.3,NA,"Robert L. Reffkin","U.S.","New York","NY","www.compass.com","Public","Market value as of March 31, 2023.",6.018e+09,6.02e+08,1.533e+09,1.521e+09
"573",573,"Rocket Companies","RKT","Financials","Diversified Financials","yes","false","false","no",-291,"no","yes","n/a","no","yes",18500,17882,-54.4,-84.9,"Bill Emerson","U.S.","Detroit","MI","www.rocketcompanies.com","Public","Market value as of March 31, 2023.",6.005e+09,4.6e+07,2.0082e+10,1.7882e+10
"574",574,"Crestwood Equity Partners","CEQP","Energy","Pipelines","yes","true","false","yes",70,"yes","no","n/a","no","no",753,2627,31.3,NA,"Robert G Phillips","U.S.","Houston","TX","www.crestwoodlp.com","Public","A partnership. Market value as of March 31, 2023.",6.001e+09,3.1e+07,6.567e+09,2.627e+09
"575",575,"Prologis","PLD","Financials","Real estate","yes","true","false","yes",54,"yes","no","n/a","no","no",2466,115219,25.5,14.5,"Hamid R. Moghadam","U.S.","San Francisco","CA","www.prologis.com","Public","A real estate investment trust. Market value as of March 31, 2023.",5.974e+09,3.365e+09,8.7897e+10,1.15219e+11
"576",576,"Insperity","NSP","Business Services","Diversified Outsourcing Services","yes","true","false","yes",35,"yes","no","n/a","no","no",4100,4601,19.4,44.5,"Paul J. Sarvadi","U.S.","Kingwood","TX","www.insperity.com","Public","Market value as of March 31, 2023.",5.939e+09,1.79e+08,2.039e+09,4.601e+09
"577",577,"GameStop","GME","Retailing","Specialty Retailers: Other","no","false","false","no",-51,"no","yes","n/a","no","no",21250,7014,-1.4,NA,"Ryan Cohen","U.S.","Grapevine","TX","www.gamestop.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",5.927e+09,3.13e+08,3.113e+09,7.014e+09
"578",578,"Ingersoll Rand","IR","Industrials","Industrial Machinery","yes","false","false","yes",-28,"no","yes","n/a","no","no",17000,23560,4.7,7.5,"Vicente Reynal","U.S.","Davidson","NC","www.irco.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",5.923e+09,6.05e+08,1.4766e+10,2.356e+10
"579",579,"Voya Financial","VOYA","Financials","Diversified Financials","yes","false","true","yes",91,"yes","no","n/a","no","no",6070,6953,40,-76,"Heather H. Lavallee","U.S.","New York","NY","www.voya.com","Public","Market value as of March 31, 2023.",5.922e+09,5.1e+08,1.47652e+11,6.953e+09
"580",580,"Marvell Technology","MRVL","Technology","Semiconductors and Other Electronic Components","no","false","false","yes",74,"yes","no","n/a","no","no",7433,37104,32.7,NA,"Matthew J. Murphy","U.S.","Wilmington","DE","www.marvell.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",5.92e+09,1.64e+08,2.2522e+10,3.7104e+10
"581",581,"Warner Music Group","WMG","Media","Entertainment","yes","false","false","yes",-5,"no","yes","n/a","no","no",6200,17217,11.7,81.3,"Robert Kyncl","U.S.","New York","NY","www.wmg.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",5.919e+09,5.51e+08,7.828e+09,1.7217e+10
